customer_id,signup_date,age,tenure_months,plan,support_tickets,last_login_days_ago,refund_after_churn,churned
C00001,2020-11-22,70.0,12.1,free,0,6,False,False
C00002,2024-02-01,41.0,8.5,basic,1,6,False,False
C00003,2021-10-07,56.0,26.3,basic,3,14,False,False
C00004,2021-07-23,46.0,2.6,pro,0,4,False,False
C00005,2022-10-05,39.0,9.7,pro,0,4,False,False
C00006,2022-02-03,68.0,24.1,basic,0,4,False,False
C00007,2023-12-08,34.0,13.1,free,2,11,False,False
C00008,2023-09-26,24.0,31.7,free,0,24,False,False
C00009,2022-05-31,72.0,14.9,pro,2,25,False,False
C00010,2022-10-22,70.0,5.4,basic,0,15,False,False
C00011,2020-09-10,35.0,52.8,free,4,3,False,False
C00012,2022-12-07,29.0,35.0,basic,1,15,False,False
C00013,2022-02-06,73.0,2.3,basic,2,116,False,True
C00014,2021-10-18,51.0,12.7,free,0,28,False,False
C00015,2023-05-31,,36.6,free,0,8,False,False
C00016,2021-06-09,45.0,0.1,free,0,6,False,False
C00017,2022-10-20,20.0,6.0,basic,1,2,False,False
C00018,2023-09-03,60.0,0.7,basic,0,18,False,False
C00019,2023-01-23,27.0,34.7,basic,0,16,False,False
C00020,2021-08-15,37.0,9.3,basic,2,0,False,False
C00021,2022-04-26,36.0,6.7,free,2,5,False,False
C00022,2020-06-22,72.0,81.9,basic,1,27,False,False
C00023,2022-03-26,28.0,10.8,basic,1,24,False,False
C00024,2020-07-04,24.0,28.3,pro,2,70,True,True
C00025,2021-07-06,33.0,45.5,pro,1,21,False,False
C00026,2024-02-02,52.0,19.3,basic,1,11,False,False
C00027,2023-08-13,58.0,41.8,basic,0,15,False,False
C00028,2023-04-03,48.0,7.1,basic,1,26,False,False
C00029,2024-02-02,52.0,24.6,free,1,57,False,True
C00030,2022-04-22,18.0,15.2,free,1,15,False,False
C00031,2022-08-19,18.0,7.3,free,0,24,False,False
C00032,2022-07-28,27.0,1.1,basic,2,27,False,False
C00033,2020-08-16,49.0,62.6,free,0,6,False,False
C00034,2020-11-25,,19.4,free,0,19,False,False
C00035,2023-11-29,28.0,39.3,free,0,6,False,False
C00036,2022-12-12,45.0,1.4,basic,2,8,False,False
C00037,2020-04-06,66.0,8.3,basic,2,21,False,False
C00038,2023-07-22,,18.1,pro,0,22,False,False
C00039,2022-03-24,71.0,1.2,free,1,167,False,True
C00040,2020-01-13,43.0,7.0,pro,2,1,False,False
C00041,2022-03-22,39.0,8.4,basic,3,20,False,True
C00042,2020-08-07,23.0,17.6,basic,0,28,False,False
C00043,2021-06-21,69.0,40.5,basic,3,55,False,True
C00044,2024-01-08,71.0,8.8,free,1,28,False,False
C00045,2022-07-30,27.0,27.2,pro,0,7,False,False
C00046,2023-12-16,38.0,18.4,basic,1,27,False,False
C00047,2020-01-11,62.0,24.5,basic,0,14,False,False
C00048,2023-02-02,59.0,14.5,basic,1,25,False,False
C00049,2022-07-05,72.0,26.8,free,0,5,False,False
C00050,2020-03-13,21.0,37.0,basic,0,14,False,False
C00051,2023-06-18,23.0,22.9,free,0,26,False,False
C00052,2023-03-05,63.0,9.1,free,4,6,False,False
C00053,2022-12-09,60.0,4.3,free,2,15,False,False
C00054,2020-07-15,39.0,10.1,basic,1,28,True,True
C00055,2022-01-19,19.0,29.1,pro,0,13,False,False
C00056,2022-10-30,49.0,21.3,free,1,6,False,False
C00057,2021-04-27,35.0,36.5,basic,0,7,False,False
C00058,2020-03-22,66.0,14.7,basic,0,25,False,False
C00059,2021-11-17,55.0,49.0,free,0,24,False,False
C00060,2020-07-14,,23.6,pro,0,8,False,False
C00061,2020-03-03,63.0,37.6,free,0,20,False,False
C00062,2023-04-20,60.0,8.2,basic,1,9,False,False
C00063,2022-08-23,18.0,3.5,free,0,14,False,False
C00064,2022-03-26,19.0,0.3,basic,1,0,False,False
C00065,2021-03-19,64.0,8.7,free,1,162,False,True
C00066,2020-11-27,48.0,12.9,free,1,5,False,False
C00067,2020-03-10,56.0,7.1,free,1,26,False,False
C00068,2021-08-05,44.0,2.1,pro,0,26,False,False
C00069,2023-12-06,50.0,2.7,pro,1,7,False,False
C00070,2022-05-25,37.0,5.4,free,1,21,False,False
C00071,2021-10-10,59.0,7.8,pro,0,6,False,False
C00072,2020-07-05,24.0,25.5,free,0,23,False,False
C00073,2023-01-17,20.0,16.0,basic,1,13,False,False
C00074,2020-10-22,19.0,5.5,free,0,16,False,False
C00075,2020-05-13,43.0,13.0,free,0,8,False,False
C00076,2022-10-11,44.0,2.7,pro,1,4,False,False
C00077,2023-02-25,45.0,1.0,basic,1,11,False,False
C00078,2023-07-16,37.0,7.9,basic,0,0,False,False
C00079,2021-01-29,25.0,2.9,free,0,9,False,False
C00080,2021-08-02,19.0,22.3,basic,0,14,False,False
C00081,2023-03-01,24.0,26.9,basic,1,27,False,False
C00082,2023-08-13,63.0,28.0,free,1,175,True,True
C00083,2023-05-19,18.0,21.3,pro,0,23,False,False
C00084,2021-05-12,71.0,20.8,free,2,130,False,True
C00085,2022-06-14,43.0,26.7,basic,0,2,False,False
C00086,2023-08-21,22.0,3.3,pro,2,19,False,False
C00087,2021-01-12,64.0,69.2,basic,0,4,False,False
C00088,2021-07-02,64.0,2.1,free,1,13,False,False
C00089,2024-01-29,72.0,33.4,basic,0,19,False,False
C00090,2021-10-22,26.0,11.0,free,2,15,False,False
C00091,2020-03-24,30.0,47.8,free,2,13,False,False
C00092,2020-06-24,31.0,0.4,free,1,36,False,True
C00093,2022-11-19,39.0,50.5,free,1,2,False,False
C00094,2022-02-25,24.0,2.8,basic,1,20,False,False
C00095,2023-12-24,43.0,35.7,basic,0,11,False,False
C00096,2023-12-08,50.0,39.3,pro,0,1,False,False
C00097,2021-10-05,41.0,3.4,pro,0,21,False,False
C00098,2021-04-24,40.0,4.8,free,2,9,False,False
C00099,2022-06-04,72.0,41.6,free,4,9,False,False
C00100,2022-10-30,67.0,9.7,free,6,155,False,True
C00101,2020-06-20,59.0,52.1,free,1,24,False,False
C00102,2023-10-24,52.0,5.1,pro,0,5,False,False
C00103,2023-01-19,65.0,76.4,free,0,26,False,False
C00104,2022-10-12,30.0,2.6,pro,2,2,False,False
C00105,2024-01-22,45.0,0.1,free,0,23,False,False
C00106,2022-03-17,62.0,10.9,free,3,5,False,False
C00107,2021-11-07,47.0,26.7,free,0,23,False,False
C00108,2024-01-16,66.0,28.9,free,1,19,False,False
