player_id,monthly_spend,monthly_sessions,segment
1,0.62,4,minnow
2,2.63,10,minnow
3,1.62,4,minnow
4,11.08,6,minnow
5,6.95,16,minnow
6,4.07,8,minnow
7,16.81,9,minnow
8,0.17,5,minnow
9,1.26,10,minnow
10,1.45,12,minnow
11,4.97,5,minnow
12,8.04,9,minnow
13,3.31,7,minnow
14,0.4,8,minnow
15,6.37,5,minnow
16,4.08,7,minnow
17,0.32,7,minnow
18,2.07,6,minnow
19,6.04,5,minnow
20,46.76,40,dolphin
21,0.58,9,minnow
22,11.75,4,minnow
23,0.59,11,minnow
24,0.43,10,minnow
25,0.48,7,minnow
26,8.74,9,minnow
27,4.09,8,minnow
28,2.01,8,minnow
29,6.91,5,minnow
30,3.54,8,minnow
31,3.96,11,minnow
32,2.04,6,minnow
33,0.64,9,minnow
34,49.7,28,dolphin
35,31.21,25,dolphin
36,42.28,20,dolphin
37,1.4,13,minnow
38,1.12,10,minnow
39,1.71,10,minnow
40,18.51,7,minnow
41,3.32,6,minnow
42,1.39,9,minnow
43,5.94,11,minnow
44,1.02,9,minnow
45,0.38,10,minnow
46,4.08,10,minnow
47,1.45,8,minnow
48,3.25,6,minnow
49,0.05,5,minnow
50,0.8,12,minnow
51,3.09,16,minnow
52,0.29,6,minnow
53,0.31,16,minnow
54,3.53,8,minnow
55,10.2,5,minnow
56,0.8,8,minnow
57,2.18,8,minnow
58,2.26,11,minnow
59,0.27,4,minnow
60,22.07,7,minnow
61,2.48,12,minnow
62,2.52,10,minnow
63,6.03,8,minnow
64,0.27,5,minnow
65,14.47,13,minnow
66,17.83,7,minnow
67,4.16,9,minnow
68,6.96,4,minnow
69,1.97,8,minnow
70,13.21,7,minnow
71,0.89,14,minnow
72,3.15,5,minnow
73,3.47,10,minnow
74,3.12,8,minnow
75,18.37,8,minnow
76,110.07,21,dolphin
77,2.79,8,minnow
78,7.05,8,minnow
79,0.92,5,minnow
80,17.31,8,minnow
81,1.45,11,minnow
82,508.88,48,whale
83,0.23,5,minnow
84,103.12,28,dolphin
85,16.22,7,minnow
86,0.55,12,minnow
87,135.79,51,whale
88,0.75,8,minnow
89,2.01,6,minnow
90,0.42,11,minnow
91,2.63,8,minnow
92,3.05,6,minnow
93,12.53,5,minnow
94,164.24,46,whale
95,1.46,9,minnow
96,0.04,9,minnow
97,9.37,7,minnow
98,1.38,8,minnow
99,60.92,37,dolphin
100,3.14,12,minnow
101,0.99,7,minnow
102,0.66,10,minnow
103,8.99,7,minnow
104,2.14,7,minnow
105,34.76,22,dolphin
106,2.37,9,minnow
107,31.93,26,dolphin
108,0.36,7,minnow
109,0.21,4,minnow
110,12.51,12,minnow
111,1.58,9,minnow
112,2.18,3,minnow
113,0.66,11,minnow
114,0.58,9,minnow
115,9.18,6,minnow
116,3.22,6,minnow
117,0.61,5,minnow
118,11.76,10,minnow
119,21.76,8,minnow
120,2.79,9,minnow
121,16.53,6,minnow
122,0.67,9,minnow
123,8.36,12,minnow
124,4.3,11,minnow
125,0.94,3,minnow
126,88.67,29,dolphin
127,4.82,7,minnow
128,1.29,9,minnow
129,3.43,8,minnow
130,0.83,8,minnow
131,0.52,9,minnow
132,1.62,9,minnow
133,1.8,12,minnow
134,0.92,7,minnow
135,24.58,5,minnow
136,0.98,4,minnow
137,0.75,7,minnow
138,0.5,7,minnow
139,0.43,7,minnow
140,17.18,5,minnow
141,5.02,10,minnow
142,10.02,11,minnow
143,16.94,7,minnow
144,1.95,14,minnow
145,35.01,28,dolphin
146,1.22,8,minnow
147,0.58,6,minnow
148,6.04,3,minnow
149,4.18,9,minnow
150,4.17,8,minnow
151,16.85,8,minnow
152,3.94,6,minnow
153,5.48,8,minnow
154,29.23,26,dolphin
155,5.09,5,minnow
156,7.32,6,minnow
157,0.34,9,minnow
158,1274.92,55,whale
159,0.26,6,minnow
160,1.4,9,minnow
161,1.33,11,minnow
162,96.82,22,dolphin
163,1.27,14,minnow
164,6.73,6,minnow
165,1.35,8,minnow
166,0.63,8,minnow
167,8.27,11,minnow
168,1.05,9,minnow
169,4.63,6,minnow
170,9.05,7,minnow
171,70.16,33,dolphin
172,0.44,12,minnow
173,2.6,6,minnow
174,2.78,4,minnow
175,3.33,6,minnow
176,202.37,61,whale
177,2.52,7,minnow
178,0.06,4,minnow
179,2.42,6,minnow
180,2.75,7,minnow
181,2.26,3,minnow
182,1.05,8,minnow
183,0.4,11,minnow
184,105.13,21,dolphin
185,5.52,11,minnow
186,2.44,6,minnow
187,99.9,26,dolphin
188,0.83,12,minnow
189,8.7,5,minnow
190,0.45,11,minnow
191,11.04,9,minnow
192,0.54,10,minnow
193,7.05,7,minnow
194,75.58,24,dolphin
195,3.86,10,minnow
196,0.1,10,minnow
197,3.52,13,minnow
198,7.16,10,minnow
199,14.04,10,minnow
200,35.08,27,dolphin
201,38.07,29,dolphin
202,2.69,6,minnow
203,1.16,8,minnow
204,0.55,13,minnow
205,1.4,12,minnow
206,7.12,9,minnow
207,0.38,9,minnow
208,0.75,7,minnow
209,8.16,5,minnow
210,1.18,17,minnow
211,6.0,6,minnow
212,0.9,6,minnow
213,5.26,9,minnow
214,0.97,4,minnow
215,0.16,8,minnow
216,15.33,11,minnow
217,1.09,3,minnow
218,2.23,9,minnow
219,1.1,10,minnow
220,7.93,12,minnow
221,5.66,9,minnow
222,7.9,16,minnow
223,1.38,7,minnow
224,3.07,9,minnow
225,6.47,6,minnow
226,39.34,21,dolphin
227,5.42,5,minnow
228,0.67,14,minnow
229,5.1,7,minnow
230,2.55,8,minnow
231,0.14,10,minnow
232,0.17,9,minnow
233,2.99,18,minnow
234,3.42,5,minnow
235,2.07,7,minnow
236,13.66,9,minnow
237,0.74,7,minnow
238,0.36,8,minnow
239,0.89,14,minnow
240,1.25,9,minnow
241,3.03,12,minnow
242,0.93,5,minnow
243,0.11,8,minnow
244,0.05,2,minnow
245,4.04,9,minnow
246,0.55,9,minnow
247,0.13,7,minnow
248,9.02,6,minnow
249,39.34,17,dolphin
250,2.85,8,minnow
251,5.1,9,minnow
252,5.17,9,minnow
253,0.08,9,minnow
254,13.76,5,minnow
255,24.14,14,minnow
256,62.73,21,dolphin
257,1.65,11,minnow
258,0.54,13,minnow
259,29.19,22,dolphin
260,7.38,6,minnow
261,13.46,8,minnow
262,1.18,8,minnow
263,5.13,8,minnow
264,0.62,6,minnow
265,3.29,8,minnow
266,1.9,9,minnow
267,141.13,40,whale
268,7.99,10,minnow
269,0.11,3,minnow
270,3.31,12,minnow
271,5.98,6,minnow
272,1.56,3,minnow
273,0.57,4,minnow
274,9.55,5,minnow
275,0.71,13,minnow
276,8.34,8,minnow
277,0.62,11,minnow
278,1.41,6,minnow
279,15.33,7,minnow
280,7.26,5,minnow
281,3.49,9,minnow
282,3.17,14,minnow
283,3.84,4,minnow
284,0.94,12,minnow
285,0.29,8,minnow
286,8.25,5,minnow
287,38.4,30,dolphin
288,8.73,8,minnow
289,4.99,5,minnow
290,0.48,8,minnow
291,13.51,7,minnow
292,7.17,4,minnow
293,11.2,6,minnow
294,17.36,17,minnow
295,42.0,22,dolphin
296,0.56,5,minnow
297,0.42,15,minnow
298,4.21,12,minnow
299,0.76,5,minnow
300,0.58,9,minnow
301,23.39,11,minnow
302,0.66,6,minnow
303,3.26,6,minnow
304,0.24,10,minnow
305,3.67,8,minnow
306,22.03,9,minnow
307,23.13,4,minnow
308,17.67,13,minnow
309,2.93,11,minnow
310,19.66,9,minnow
311,6.61,6,minnow
312,1.64,4,minnow
313,6.11,4,minnow
314,13.7,11,minnow
315,0.4,10,minnow
316,0.61,7,minnow
317,2.64,5,minnow
318,0.47,6,minnow
319,0.46,5,minnow
320,1.69,11,minnow
321,16.24,9,minnow
322,15.75,11,minnow
323,5.55,4,minnow
324,4.43,11,minnow
325,93.69,23,dolphin
326,1.4,3,minnow
327,4.88,12,minnow
328,1.29,5,minnow
329,0.42,7,minnow
330,22.11,4,minnow
331,2.04,8,minnow
332,10.09,9,minnow
333,2.24,5,minnow
334,24.4,8,minnow
335,0.67,9,minnow
336,21.38,11,minnow
337,13.88,8,minnow
338,0.19,6,minnow
339,1.45,6,minnow
340,17.0,7,minnow
341,45.59,22,dolphin
342,10.43,16,minnow
343,1.76,9,minnow
344,0.71,6,minnow
345,8.22,9,minnow
346,1.68,6,minnow
347,1.8,5,minnow
348,2.32,4,minnow
349,13.61,6,minnow
350,59.76,23,dolphin
351,17.17,14,minnow
352,3.37,7,minnow
353,0.79,9,minnow
354,9.66,9,minnow
355,47.69,24,dolphin
356,16.54,4,minnow
357,4.63,12,minnow
358,1.52,9,minnow
359,5.77,9,minnow
360,21.06,11,minnow
361,4.81,8,minnow
362,2.81,7,minnow
363,1.11,5,minnow
364,209.16,47,whale
365,0.8,9,minnow
366,0.69,6,minnow
367,4.32,8,minnow
368,2.4,10,minnow
369,17.07,7,minnow
370,18.02,5,minnow
371,0.48,12,minnow
372,0.99,7,minnow
373,0.82,3,minnow
374,11.65,8,minnow
375,6.59,6,minnow
376,1.83,5,minnow
377,4.69,6,minnow
378,0.55,8,minnow
379,1.01,7,minnow
380,0.41,8,minnow
381,4.19,6,minnow
382,4.16,7,minnow
383,0.69,6,minnow
384,6.51,14,minnow
385,18.02,8,minnow
386,0.64,7,minnow
387,1.97,6,minnow
388,7.55,13,minnow
389,3.29,8,minnow
390,0.37,4,minnow
391,1.64,11,minnow
392,1.56,11,minnow
393,2.53,5,minnow
394,2.71,8,minnow
395,40.67,29,dolphin
396,2.38,7,minnow
397,0.21,7,minnow
398,3.84,6,minnow
399,54.4,29,dolphin
400,2.54,6,minnow
401,1.65,9,minnow
402,2.04,10,minnow
403,8.45,9,minnow
404,2.02,5,minnow
405,0.29,6,minnow
406,1.13,4,minnow
407,2.99,7,minnow
408,7.82,12,minnow
409,1.31,8,minnow
410,2.07,5,minnow
411,3.57,8,minnow
412,0.96,1,minnow
413,2.87,11,minnow
414,7.01,6,minnow
415,0.5,6,minnow
416,5.42,5,minnow
417,0.58,4,minnow
418,0.6,6,minnow
419,1.15,8,minnow
420,29.51,26,dolphin
421,0.21,7,minnow
422,1.58,3,minnow
423,3.18,10,minnow
424,21.49,7,minnow
425,74.94,20,dolphin
426,1.69,8,minnow
427,7.87,6,minnow
428,2.85,5,minnow
429,2.82,10,minnow
430,5.14,1,minnow
431,0.26,9,minnow
432,3.08,7,minnow
433,6.83,8,minnow
434,0.84,13,minnow
435,6.9,11,minnow
436,0.21,9,minnow
437,3.86,7,minnow
438,28.43,22,dolphin
439,2.34,8,minnow
440,0.69,9,minnow
441,0.34,8,minnow
442,6.2,10,minnow
443,14.66,6,minnow
444,3.04,9,minnow
445,1.58,10,minnow
446,0.15,9,minnow
447,4.05,4,minnow
448,1.1,2,minnow
449,1.21,9,minnow
450,44.09,21,dolphin
451,0.19,10,minnow
452,0.23,9,minnow
453,4.81,5,minnow
454,1.79,8,minnow
455,1.45,14,minnow
456,5.14,11,minnow
457,5.0,7,minnow
458,0.7,10,minnow
459,1.29,11,minnow
460,3.59,9,minnow
461,4.34,8,minnow
462,7.19,7,minnow
463,1.31,6,minnow
464,5.79,3,minnow
465,15.19,6,minnow
466,3.58,8,minnow
467,2.82,9,minnow
468,2.28,8,minnow
469,1.24,12,minnow
470,0.74,14,minnow
471,2.06,9,minnow
472,6.83,11,minnow
473,0.8,4,minnow
474,2.94,10,minnow
475,2.44,8,minnow
476,57.08,27,dolphin
477,10.55,8,minnow
478,10.28,12,minnow
479,14.47,11,minnow
480,1.39,9,minnow
481,30.05,29,dolphin
482,4.28,13,minnow
483,3.09,4,minnow
484,0.48,8,minnow
485,1.75,7,minnow
486,0.2,4,minnow
487,2.23,9,minnow
488,1.32,9,minnow
489,1.76,11,minnow
490,0.36,13,minnow
491,10.23,4,minnow
492,8.57,9,minnow
493,49.58,23,dolphin
494,47.39,23,dolphin
495,4.26,13,minnow
496,17.07,6,minnow
497,5.04,15,minnow
498,1.68,10,minnow
499,2.13,6,minnow
500,9.23,7,minnow
501,2300.03,55,whale
502,21.48,15,minnow
503,4.92,11,minnow
504,7.2,6,minnow
505,7.1,7,minnow
506,2.87,8,minnow
507,11.14,9,minnow
508,2.59,8,minnow
509,0.66,11,minnow
510,7.18,10,minnow
511,8.89,4,minnow
512,2.63,4,minnow
513,5.45,12,minnow
514,15.45,12,minnow
515,3.06,9,minnow
516,1.62,6,minnow
517,1.07,12,minnow
518,2.21,11,minnow
519,38.7,19,dolphin
520,2.42,13,minnow
521,5.9,4,minnow
522,1.98,5,minnow
523,1.72,4,minnow
524,0.81,11,minnow
525,3.9,10,minnow
526,1.45,8,minnow
527,25.48,20,dolphin
528,2.8,7,minnow
529,3.09,9,minnow
530,2.49,6,minnow
531,6.01,5,minnow
532,36.07,27,dolphin
533,0.63,8,minnow
534,5.18,2,minnow
535,0.27,9,minnow
536,23.5,9,minnow
537,2.79,8,minnow
538,0.3,12,minnow
539,0.43,6,minnow
540,12.21,8,minnow
541,0.23,12,minnow
542,5.18,8,minnow
543,1.67,9,minnow
544,2.43,9,minnow
545,1.13,4,minnow
546,0.72,4,minnow
