student_id,baseline_score,followup_score,change
1,71.4,46.8,-24.6
2,59.2,89.0,29.8
3,58.4,53.0,-5.4
4,87.1,76.3,-10.8
5,97.1,73.4,-23.7
6,49.9,84.9,35.0
7,64.8,77.3,12.5
8,91.0,70.5,-20.5
9,77.8,36.8,-41.0
10,70.3,95.3,25.0
11,85.6,95.6,10.0
12,95.7,100.0,4.3
13,69.6,49.6,-20.0
14,88.1,80.4,-7.7
15,73.8,72.9,-0.9
16,55.0,58.9,3.9
17,90.8,70.3,-20.5
18,75.2,100.0,24.8
19,82.9,73.6,-9.3
20,76.4,68.2,-8.2
21,65.2,72.2,7.0
22,53.3,57.8,4.5
23,50.4,32.7,-17.7
24,69.3,51.2,-18.1
25,84.7,69.5,-15.2
26,85.2,74.8,-10.4
27,73.5,89.3,15.8
28,72.5,100.0,27.5
29,56.9,65.8,8.9
30,50.4,57.6,7.2
31,100.0,96.5,-3.5
32,98.7,94.4,-4.3
33,62.5,71.9,9.4
34,97.6,80.6,-17.0
35,90.9,69.8,-21.1
36,40.6,46.2,5.6
37,45.5,84.2,38.7
38,49.6,63.0,13.4
39,67.0,71.5,4.5
40,73.0,54.6,-18.4
41,68.9,77.5,8.6
42,28.6,38.5,9.9
43,31.8,69.0,37.2
44,80.5,98.9,18.4
45,70.8,70.2,-0.6
46,43.4,69.1,25.7
47,49.0,62.2,13.2
48,73.1,60.3,-12.8
49,45.9,65.5,19.6
50,80.0,81.3,1.3
51,51.8,79.4,27.6
52,86.3,65.3,-21.0
53,53.5,96.0,42.5
54,69.5,68.1,-1.4
55,89.3,69.1,-20.2
56,77.5,74.5,-3.0
57,78.1,88.8,10.7
58,69.8,57.4,-12.4
59,76.8,73.8,-3.0
60,45.1,34.6,-10.5
61,71.4,64.5,-6.9
62,50.7,44.1,-6.6
63,79.0,87.6,8.6
64,75.8,54.3,-21.5
65,52.3,58.5,6.2
66,35.9,72.0,36.1
67,63.3,94.4,31.1
68,68.8,56.3,-12.5
69,86.9,100.0,13.1
70,76.8,83.2,6.4
71,51.3,44.0,-7.3
72,41.5,43.8,2.3
73,41.3,10.8,-30.5
74,52.9,63.6,10.7
75,69.9,43.8,-26.1
76,76.7,75.1,-1.6
77,62.2,99.4,37.2
78,83.3,89.3,6.0
79,65.9,51.3,-14.6
80,55.2,59.4,4.2
81,16.9,71.3,54.4
82,53.2,57.1,3.9
83,85.4,90.2,4.8
84,77.0,99.2,22.2
85,54.5,82.5,28.0
86,58.1,64.4,6.3
87,56.9,62.2,5.3
88,90.0,66.6,-23.4
89,91.9,84.0,-7.9
90,83.8,56.1,-27.7
91,97.3,100.0,2.7
92,61.0,42.5,-18.5
93,59.2,71.6,12.4
94,81.2,85.0,3.8
95,58.7,68.7,10.0
96,62.5,55.5,-7.0
97,65.9,57.4,-8.5
98,93.1,65.5,-27.6
99,65.6,73.2,7.6
100,78.2,55.6,-22.6
101,72.6,64.9,-7.7
102,80.5,75.2,-5.3
103,59.0,76.0,17.0
104,76.9,64.7,-12.2
105,60.6,42.0,-18.6
106,46.6,74.8,28.2
107,62.9,59.4,-3.5
108,86.2,95.1,8.9
109,39.1,49.7,10.6
110,61.6,81.1,19.5
111,75.0,65.0,-10.0
112,39.2,62.3,23.1
113,100.0,100.0,0.0
114,88.9,66.2,-22.7
115,69.1,72.0,2.9
116,85.6,86.8,1.2
117,100.0,97.6,-2.4
118,77.1,37.7,-39.4
119,60.4,90.1,29.7
120,82.7,69.5,-13.2
121,40.2,47.9,7.7
122,70.9,84.1,13.2
123,56.9,80.2,23.3
124,78.3,62.8,-15.5
125,66.8,41.2,-25.6
126,74.0,100.0,26.0
127,56.7,56.0,-0.7
128,81.2,80.8,-0.4
129,62.8,55.9,-6.9
130,78.8,81.0,2.2
131,51.5,58.4,6.9
132,73.9,71.3,-2.6
133,70.7,64.1,-6.6
134,72.2,52.6,-19.6
135,70.9,82.1,11.2
136,53.2,75.0,21.8
137,77.0,63.5,-13.5
138,65.3,58.6,-6.7
139,67.7,78.5,10.8
140,61.1,82.5,21.4
141,71.0,93.6,22.6
142,72.6,59.6,-13.0
143,85.2,69.2,-16.0
144,75.6,59.0,-16.6
145,74.8,59.0,-15.8
146,65.3,47.8,-17.5
147,96.3,97.9,1.6
148,42.8,64.1,21.3
149,35.1,43.4,8.3
150,63.0,62.9,-0.1
151,49.6,42.1,-7.5
152,63.8,65.8,2.0
153,40.5,59.1,18.6
154,47.1,66.7,19.6
155,68.7,63.2,-5.5
156,69.6,84.4,14.8
157,61.4,85.3,23.9
158,81.9,87.6,5.7
159,59.2,76.2,17.0
160,92.6,58.4,-34.2
161,51.9,79.6,27.7
162,86.0,82.4,-3.6
163,65.7,75.7,10.0
164,64.1,46.9,-17.2
165,70.2,100.0,29.8
166,70.0,40.6,-29.4
167,82.6,85.8,3.2
168,62.7,76.1,13.4
169,69.2,54.6,-14.6
170,45.0,73.3,28.3
171,84.2,72.7,-11.5
172,75.7,48.5,-27.2
173,87.3,67.4,-19.9
174,56.6,65.2,8.6
175,60.6,66.9,6.3
176,91.9,82.1,-9.8
177,74.8,36.4,-38.4
178,67.9,100.0,32.1
179,58.9,83.9,25.0
180,74.9,35.3,-39.6
181,57.7,49.1,-8.6
182,94.4,70.8,-23.6
183,51.8,65.7,13.9
184,80.3,64.6,-15.7
185,46.6,51.6,5.0
186,62.9,67.9,5.0
187,65.7,76.0,10.3
188,84.4,89.3,4.9
189,59.0,41.2,-17.8
190,74.8,77.5,2.7
191,82.9,78.7,-4.2
192,92.3,80.8,-11.5
193,70.1,56.9,-13.2
194,44.7,56.3,11.6
195,65.9,83.8,17.9
196,60.9,63.3,2.4
