startup_id,sector,seed_funding_millions,market_score,survived_3yr,year3_revenue_millions
1,Health,0.36,-0.47,True,36.36
2,AI,0.7,0.12,True,28.05
3,Retail,0.13,0.4,False,
4,Games,1.6,1.2,False,
5,Health,0.62,0.24,True,97.69
6,Retail,0.38,-0.47,True,10.18
7,Fintech,0.38,-1.01,False,
8,Fintech,1.08,0.29,True,25.73
9,AI,0.05,-0.12,True,7.16
10,Health,0.28,-0.08,False,
11,Fintech,0.49,0.26,True,15.56
12,Retail,0.49,0.52,False,
13,Fintech,4.01,0.27,False,
14,Health,0.41,-0.17,False,
15,Health,1.19,-0.8,False,
16,Fintech,2.3,-0.61,False,
17,Games,0.92,0.85,True,29.89
18,Games,0.32,-0.42,False,
19,Retail,0.19,-1.35,False,
20,Games,0.98,1.16,True,3.11
21,Health,2.01,-0.94,True,10.77
22,Health,0.84,0.04,False,
23,Games,1.45,0.49,False,
24,Fintech,4.3,0.0,False,
25,Health,1.06,-2.48,True,7.96
26,AI,0.22,0.39,False,
27,Games,0.56,1.33,True,15.17
28,AI,1.62,0.79,True,32.39
29,Retail,0.44,-2.12,False,
30,AI,1.8,2.13,True,28.51
31,Fintech,0.51,-1.33,False,
32,Fintech,0.71,-1.08,False,
33,Fintech,0.41,0.78,False,
34,Fintech,0.61,0.45,False,
35,Games,0.64,0.08,True,7.97
36,AI,0.15,-0.57,True,24.31
37,Fintech,0.38,1.33,False,
38,AI,0.2,-0.04,True,6.3
39,Fintech,0.39,-1.57,False,
40,Retail,0.29,1.23,False,
41,Fintech,1.21,0.22,False,
42,Retail,1.23,1.12,False,
43,Health,0.85,0.57,True,13.83
44,Health,0.2,2.39,True,47.85
45,Retail,0.5,-0.31,False,
46,AI,0.18,0.02,True,19.52
47,Retail,0.48,0.72,False,
48,Health,0.91,-0.3,True,28.56
49,Fintech,1.2,0.8,True,19.25
50,Retail,0.79,-2.95,False,
51,Fintech,1.48,-0.07,False,
52,Retail,0.67,-0.1,True,6.93
53,Retail,0.45,-0.14,False,
54,Fintech,1.09,-0.88,False,
55,Fintech,1.12,0.91,False,
56,Retail,0.36,-0.5,False,
57,AI,0.73,0.2,False,
58,Games,0.43,-0.04,True,10.23
59,AI,0.11,0.5,False,
60,Fintech,0.77,1.43,True,5.72
61,Health,0.19,0.2,False,
62,Games,0.7,0.84,False,
63,Games,0.16,0.14,True,24.0
64,Games,0.3,-0.51,False,
